amfi_code,start_nav,end_nav,cagr,sharpe_ratio,sortino_ratio,max_drawdown,return_rank,sharpe_rank,sortino_rank,drawdown_rank,fund_score
120505,135.872,473.764,0.36649492202248246,1.1801011976606492,2.0293529404657464,-0.18188513572116294,1.0,5.0,5.0,16.0,4.5
148569,28.862,97.7435,0.35656424434713063,1.2349300257743294,2.146913926346055,-0.1639674294693263,4.0,3.0,3.0,20.0,5.1
148567,70.2514,230.2708,0.34553801295233577,1.4482911703262598,2.3856443733688186,-0.11265729075028275,5.0,1.0,1.0,33.0,5.800000000000001
120843,49.9131,163.2397,0.34478485997317065,1.3067439695428409,2.3643200321667184,-0.1297396816518679,6.0,2.0,2.0,28.0,6.200000000000001
119598,89.8738,309.205,0.3619254980369906,0.9453082575156095,1.6753165700125519,-0.2870600572176455,2.0,14.0,12.0,5.0,7.9
149323,78.4622,245.3651,0.32980535420961,1.1321218524747243,1.8751010639192083,-0.17248105753451382,8.0,6.0,6.0,19.0,8.1
149324,81.6814,279.7511,0.3603860113829813,0.9497958246616031,1.6197931764914093,-0.31171900300634214,3.0,13.0,14.0,4.0,8.3
119551,54.3856,149.3216,0.28724044751931177,1.2082665673727175,2.140267129061793,-0.1501238549864533,10.0,4.0,4.0,24.0,8.4
100033,107.3758,342.0072,0.3359254059260708,1.093698743534631,1.8291339615146942,-0.16217208574644848,7.0,7.0,8.0,21.0,8.6
118632,42.8339,110.5554,0.2675003427642928,1.0816591793457042,1.850132546855726,-0.17414075086657232,11.0,8.0,7.0,18.0,10.000000000000002
119094,68.3023,203.8581,0.31438671530749507,0.9982309868636413,1.7037974802463003,-0.20960883862039192,9.0,11.0,11.0,13.0,10.400000000000002
101206,305.0996,773.2939,0.261757039853987,1.0272133278753695,1.799562874698452,-0.11291596329323073,12.0,9.0,10.0,32.0,12.7
120504,60.1474,151.1311,0.25902468784474575,1.0265242847993001,1.8052937940992548,-0.12588275606922517,13.0,10.0,9.0,29.0,12.9
148568,84.0757,205.451,0.25028621211628943,0.9262873467360146,1.632740977873516,-0.1527259422823477,14.0,15.0,13.0,22.0,14.900000000000002
119552,58.4174,137.7323,0.23914860988772046,0.9532794968660104,1.609776489628308,-0.11803493502764295,15.0,12.0,15.0,30.0,15.6
125497,560.1443,1204.9571,0.21106629081606054,0.7757902498211205,1.3306512447571364,-0.15200013055606398,16.0,18.0,18.0,23.0,17.7
120503,55.3983,118.1496,0.20846465977504725,0.7979728586052847,1.3379431500669237,-0.13897862823061635,17.0,17.0,17.0,27.0,18.0
102885,89.8728,187.7797,0.20227853129788187,0.8170993373494367,1.4357420130649492,-0.1085986215250232,18.0,16.0,16.0,34.0,18.6
120506,202.0453,404.4207,0.18944990527766725,0.6488787755249534,1.0958951614736467,-0.1982565826298267,19.0,20.0,21.0,14.0,19.2
102887,191.0721,378.9657,0.18672654475388573,0.6195175900829828,1.0887552508030016,-0.21539827112383225,20.0,22.0,22.0,11.0,20.1
118633,47.1836,91.601,0.18039479377390633,0.6452074382933215,1.154475716923624,-0.18629743138595511,22.0,21.0,19.0,15.0,20.400000000000002
118635,170.3428,326.7508,0.17685571172070014,0.664856998549062,1.137976718780742,-0.1165062450540909,23.0,19.0,20.0,31.0,22.000000000000004
118634,69.1076,134.6683,0.18150317147492623,0.44843400890899127,0.7460146308533572,-0.2334488614483311,21.0,26.0,26.0,9.0,22.299999999999997
120841,275.837,482.127,0.1498130492828098,0.4942725378672349,0.8625738849916581,-0.1757361416468729,24.0,24.0,24.0,17.0,23.3
149322,348.7159,606.2349,0.148265446148369,0.4640374492204776,0.7621288703723166,-0.14844576917771746,25.0,25.0,25.0,25.0,25.0
125498,117.5969,188.3619,0.12499164555416464,0.3006119210425478,0.5088128197169232,-0.21117279560132118,26.0,27.0,27.0,12.0,25.099999999999998
101207,38.5736,53.9836,0.08765940007319739,0.16266076928646772,0.27664379626092334,-0.3544691649336603,27.0,28.0,28.0,3.0,25.100000000000005
119093,41.814,58.4203,0.08720268676546739,0.12961449795669328,0.22108683979276353,-0.21751396370148224,28.0,29.0,29.0,10.0,26.7
120507,285.7447,388.5939,0.07988982404151579,0.4957233929533123,1.0521238822609291,-0.0009773140045925555,29.0,23.0,23.0,40.0,27.1
120842,62.1265,82.6457,0.07395440509103568,0.07599984804658921,0.12469346986475674,-0.24003511326274884,31.0,30.0,30.0,8.0,28.2
